 1.00000000e+00 -7.63721174e+01  1.00000000e+00 -1.71208942e+00  1.00000000e+00 -7.04691120e+01  1.00000000e+00 -1.24640344e+01  1.00000000e+00 -3.61566068e+01 
 1.02329299e+00 -7.63645978e+01  1.02329299e+00 -1.69854327e+00  1.02329299e+00 -7.04530907e+01  1.02329299e+00 -1.25630939e+01  1.02329299e+00 -3.61604400e+01 
 1.04712855e+00 -7.63514951e+01  1.04712855e+00 -1.68502623e+00  1.04712855e+00 -7.04590685e+01  1.04712855e+00 -1.26610292e+01  1.04712855e+00 -3.61749354e+01 
 1.07151931e+00 -7.63480666e+01  1.07151931e+00 -1.67154574e+00  1.07151931e+00 -7.04558666e+01  1.07151931e+00 -1.27578763e+01  1.07151931e+00 -3.61831118e+01 
 1.09647820e+00 -7.63394522e+01  1.09647820e+00 -1.65812214e+00  1.09647820e+00 -7.04612073e+01  1.09647820e+00 -1.28536738e+01  1.09647820e+00 -3.61900734e+01 
 1.12201845e+00 -7.63331969e+01  1.12201845e+00 -1.64476756e+00  1.12201845e+00 -7.04543933e+01  1.12201845e+00 -1.29484631e+01  1.12201845e+00 -3.62050151e+01 
 1.14815362e+00 -7.63338825e+01  1.14815362e+00 -1.63149899e+00  1.14815362e+00 -7.04491390e+01  1.14815362e+00 -1.30422882e+01  1.14815362e+00 -3.62165372e+01 
 1.17489755e+00 -7.63277927e+01  1.17489755e+00 -1.61832645e+00  1.17489755e+00 -7.04431969e+01  1.17489755e+00 -1.31351958e+01  1.17489755e+00 -3.62292760e+01 
 1.20226443e+00 -7.63242863e+01  1.20226443e+00 -1.60526630e+00  1.20226443e+00 -7.04467046e+01  1.20226443e+00 -1.32272349e+01  1.20226443e+00 -3.62453626e+01 
 1.23026877e+00 -7.63191051e+01  1.23026877e+00 -1.59232867e+00  1.23026877e+00 -7.04591069e+01  1.23026877e+00 -1.33184568e+01  1.23026877e+00 -3.62523834e+01 
 1.25892541e+00 -7.63187503e+01  1.25892541e+00 -1.57953379e+00  1.25892541e+00 -7.04567167e+01  1.25892541e+00 -1.34089150e+01  1.25892541e+00 -3.62690947e+01 
 1.28824955e+00 -7.63190014e+01  1.28824955e+00 -1.56689071e+00  1.28824955e+00 -7.04561455e+01  1.28824955e+00 -1.34986654e+01  1.28824955e+00 -3.62910187e+01 
 1.31825674e+00 -7.63219382e+01  1.31825674e+00 -1.55441569e+00  1.31825674e+00 -7.04663859e+01  1.31825674e+00 -1.35877656e+01  1.31825674e+00 -3.63045704e+01 
 1.34896288e+00 -7.63294201e+01  1.34896288e+00 -1.54212609e+00  1.34896288e+00 -7.04750834e+01  1.34896288e+00 -1.36762753e+01  1.34896288e+00 -3.63234507e+01 
 1.38038426e+00 -7.63301145e+01  1.38038426e+00 -1.53000969e+00  1.38038426e+00 -7.04815509e+01  1.38038426e+00 -1.37642557e+01  1.38038426e+00 -3.63419594e+01 
 1.41253754e+00 -7.63337524e+01  1.41253754e+00 -1.51809714e+00  1.41253754e+00 -7.04971456e+01  1.41253754e+00 -1.38517699e+01  1.41253754e+00 -3.63672581e+01 
 1.44543977e+00 -7.63472665e+01  1.44543977e+00 -1.50642141e+00  1.44543977e+00 -7.05034020e+01  1.44543977e+00 -1.39388824e+01  1.44543977e+00 -3.63869586e+01 
 1.47910839e+00 -7.63512740e+01  1.47910839e+00 -1.49493788e+00  1.47910839e+00 -7.05151413e+01  1.47910839e+00 -1.40256591e+01  1.47910839e+00 -3.64099219e+01 
 1.51356125e+00 -7.63632570e+01  1.51356125e+00 -1.48370853e+00  1.51356125e+00 -7.05320727e+01  1.51356125e+00 -1.41121671e+01  1.51356125e+00 -3.64311512e+01 
 1.54881662e+00 -7.63746801e+01  1.54881662e+00 -1.47271622e+00  1.54881662e+00 -7.05408259e+01  1.54881662e+00 -1.41984747e+01  1.54881662e+00 -3.64556104e+01 
 1.58489319e+00 -7.63873044e+01  1.58489319e+00 -1.46197546e+00  1.58489319e+00 -7.05637222e+01  1.58489319e+00 -1.42846510e+01  1.58489319e+00 -3.64846650e+01 
 1.62181010e+00 -7.63981732e+01  1.62181010e+00 -1.45148138e+00  1.62181010e+00 -7.05804460e+01  1.62181010e+00 -1.43707660e+01  1.62181010e+00 -3.65106353e+01 
 1.65958691e+00 -7.64163719e+01  1.65958691e+00 -1.44128189e+00  1.65958691e+00 -7.05902334e+01  1.65958691e+00 -1.44568904e+01  1.65958691e+00 -3.65396361e+01 
 1.69824365e+00 -7.64329097e+01  1.69824365e+00 -1.43134430e+00  1.69824365e+00 -7.06112750e+01  1.69824365e+00 -1.45430954e+01  1.69824365e+00 -3.65673402e+01 
 1.73780083e+00 -7.64535772e+01  1.73780083e+00 -1.42170334e+00  1.73780083e+00 -7.06350438e+01  1.73780083e+00 -1.46294524e+01  1.73780083e+00 -3.65993743e+01 
 1.77827941e+00 -7.64701981e+01  1.77827941e+00 -1.41232118e+00  1.77827941e+00 -7.06513148e+01  1.77827941e+00 -1.47160332e+01  1.77827941e+00 -3.66315416e+01 
