dc,V
0.00000000e+00,2.74176903e-06
1.00000000e-03,-1.59058100e-07
2.00000000e-03,3.72176956e-07
3.00000000e-03,7.12924830e-07
4.00000000e-03,6.82578438e-07
5.00000000e-03,6.86392720e-07
6.00000000e-03,-7.71932740e-07
7.00000000e-03,-2.09566986e-06
8.00000000e-03,9.45199918e-07
9.00000000e-03,2.12529905e-06
1.00000000e-02,-9.00318042e-07
1.10000000e-02,-6.20788754e-07
1.20000000e-02,8.13495049e-07
1.30000000e-02,6.82473633e-07
1.40000000e-02,-7.63455965e-07
1.50000000e-02,-6.29344576e-07
1.60000000e-02,8.18316970e-07
1.70000000e-02,6.86060098e-07
1.80000000e-02,-7.59765140e-07
1.90000000e-02,8.33328073e-07
2.00000000e-02,6.87681023e-07
2.10000000e-02,-7.56914975e-07
2.20000000e-02,-6.22938590e-07
2.30000000e-02,8.24722068e-07
2.40000000e-02,6.92452318e-07
2.50000000e-02,-7.53381801e-07
2.60000000e-02,-6.19300611e-07
2.70000000e-02,8.28344504e-07
2.80000000e-02,6.96070313e-07
2.90000000e-02,-7.49772244e-07
3.00000000e-02,-6.15697271e-07
3.10000000e-02,8.31939850e-07
3.20000000e-02,6.99657665e-07
3.30000000e-02,-7.46191997e-07
3.40000000e-02,-6.12125906e-07
3.50000000e-02,8.35503222e-07
3.60000000e-02,7.03213932e-07
3.70000000e-02,-7.42644168e-07
3.80000000e-02,-6.08588291e-07
3.90000000e-02,8.39034620e-07
4.00000000e-02,7.06735115e-07
4.10000000e-02,-7.39130535e-07
4.20000000e-02,-6.05081762e-07
4.30000000e-02,8.42527825e-07
4.40000000e-02,7.10221215e-07
4.50000000e-02,-7.35656869e-07
4.60000000e-02,-6.01617423e-07
4.70000000e-02,8.45985948e-07
4.80000000e-02,7.13663795e-07
4.90000000e-02,-7.32221395e-07
5.00000000e-02,-5.98192162e-07
5.10000000e-02,8.49396997e-07
5.20000000e-02,7.17066850e-07
5.30000000e-02,-7.28832106e-07
5.40000000e-02,-5.94815752e-07
5.50000000e-02,8.52761417e-07
5.60000000e-02,7.20419724e-07
5.70000000e-02,-7.25492111e-07
5.80000000e-02,-5.91488636e-07
5.90000000e-02,8.56076987e-07
6.00000000e-02,7.23717086e-07
6.10000000e-02,-7.22206739e-07
6.20000000e-02,-5.88216587e-07
6.30000000e-02,8.59331717e-07
6.40000000e-02,2.18595897e-06
6.50000000e-02,-8.53285442e-07
6.60000000e-02,-2.03164552e-06
6.70000000e-02,-4.63307614e-07
6.80000000e-02,8.52184989e-07
6.90000000e-02,7.31943395e-07
7.00000000e-02,-7.15139059e-07
7.10000000e-02,-5.81082737e-07
7.20000000e-02,8.66415384e-07
7.30000000e-02,7.34001748e-07
7.40000000e-02,-7.11979808e-07
7.50000000e-02,-5.78048276e-07
7.60000000e-02,8.69439187e-07
7.70000000e-02,7.37002903e-07
7.80000000e-02,-7.08998638e-07
7.90000000e-02,-5.75093750e-07
8.00000000e-02,8.72370176e-07
8.10000000e-02,7.39913020e-07
8.20000000e-02,7.52882201e-07
8.30000000e-02,-7.06541492e-07
8.40000000e-02,-5.71435343e-07
8.50000000e-02,8.75884698e-07
8.60000000e-02,-7.15597803e-07
8.70000000e-02,-5.68361802e-07
8.80000000e-02,-5.81181769e-07
8.90000000e-02,8.79718076e-07
9.00000000e-02,7.45949524e-07
9.10000000e-02,-7.00031588e-07
9.20000000e-02,-5.66231950e-07
9.30000000e-02,8.81134721e-07
9.40000000e-02,7.48575424e-07
9.50000000e-02,-6.97559344e-07
9.60000000e-02,-5.63785463e-07
9.70000000e-02,8.83543017e-07
9.80000000e-02,7.50942419e-07
9.90000000e-02,-6.95233204e-07
1.00000000e-01,-5.61502844e-07
1.01000000e-01,-5.73216585e-07
