VGS,ID,GM
0.00000000e+00,5.07949238e-12,7.99360578e-11
1.00000000e-03,5.16209298e-12,8.52651283e-11
2.00000000e-03,5.25002264e-12,8.74855743e-11
3.00000000e-03,5.33706412e-12,8.92619312e-11
4.00000000e-03,5.42854650e-12,9.19264664e-11
5.00000000e-03,5.52091706e-12,9.32587341e-11
6.00000000e-03,5.61506397e-12,9.54791801e-11
7.00000000e-03,5.71187542e-12,9.81437154e-11
8.00000000e-03,5.81135140e-12,1.01252340e-10
9.00000000e-03,5.91438010e-12,1.04360964e-10
1.00000000e-02,6.02007333e-12,1.06581410e-10
1.10000000e-02,6.12754292e-12,1.09245946e-10
1.20000000e-02,6.23856522e-12,1.11910481e-10
1.30000000e-02,6.35136388e-12,1.14130927e-10
1.40000000e-02,6.46682707e-12,1.17683641e-10
1.50000000e-02,6.58673116e-12,1.20792265e-10
1.60000000e-02,6.70841160e-12,1.23456800e-10
1.70000000e-02,6.83364476e-12,1.26565425e-10
1.80000000e-02,6.96154245e-12,1.30118138e-10
1.90000000e-02,7.09388104e-12,1.33226763e-10
2.00000000e-02,7.22799598e-12,1.36779477e-10
2.10000000e-02,7.36743999e-12,1.40776280e-10
2.20000000e-02,7.50954854e-12,1.43884904e-10
2.30000000e-02,7.65520980e-12,1.47437618e-10
2.40000000e-02,7.80442377e-12,1.50546242e-10
2.50000000e-02,7.95630228e-12,1.54987134e-10
2.60000000e-02,8.11439804e-12,1.59872116e-10
2.70000000e-02,8.27604651e-12,1.62536651e-10
2.80000000e-02,8.43947134e-12,1.66977543e-10
2.90000000e-02,8.61000160e-12,1.72306613e-10
3.00000000e-02,8.78408457e-12,1.75859327e-10
3.10000000e-02,8.96172025e-12,1.80744308e-10
3.20000000e-02,9.14557319e-12,1.84741111e-10
3.30000000e-02,9.33120248e-12,1.89182003e-10
3.40000000e-02,9.52393719e-12,1.94955163e-10
3.50000000e-02,9.72111280e-12,2.00284234e-10
3.60000000e-02,9.92450566e-12,2.04281037e-10
3.70000000e-02,1.01296749e-11,2.09166018e-10
3.80000000e-02,1.03428377e-11,2.15383267e-10
3.90000000e-02,1.05604414e-11,2.20712337e-10
4.00000000e-02,1.07842624e-11,2.26041408e-10
4.10000000e-02,1.10125242e-11,2.31814568e-10
4.20000000e-02,1.12478915e-11,2.38031816e-10
4.30000000e-02,1.14885879e-11,2.44249065e-10
4.40000000e-02,1.17363896e-11,2.50466314e-10
4.50000000e-02,1.19895205e-11,2.56683563e-10
4.60000000e-02,1.22497568e-11,2.63788991e-10
4.70000000e-02,1.25170985e-11,2.70450329e-10
4.80000000e-02,1.27906574e-11,2.76223489e-10
4.90000000e-02,1.30695454e-11,2.83328916e-10
5.00000000e-02,1.33573153e-11,2.90878432e-10
5.10000000e-02,1.36513023e-11,2.98872038e-10
5.20000000e-02,1.39550593e-11,3.06421555e-10
5.30000000e-02,1.42641454e-11,3.13526982e-10
5.40000000e-02,1.45821133e-11,3.21520588e-10
5.50000000e-02,1.49071866e-11,3.30402372e-10
5.60000000e-02,1.52429180e-11,3.39284156e-10
5.70000000e-02,1.55857549e-11,3.46833673e-10
5.80000000e-02,1.59365854e-11,3.55715457e-10
5.90000000e-02,1.62971858e-11,3.65041330e-10
6.00000000e-02,1.66666680e-11,3.74367204e-10
6.10000000e-02,1.70459202e-11,3.84137167e-10
6.20000000e-02,1.74349424e-11,3.93018951e-10
6.30000000e-02,1.78319581e-11,4.03233003e-10
6.40000000e-02,1.82414084e-11,4.14335233e-10
6.50000000e-02,1.86606286e-11,4.24993374e-10
6.60000000e-02,1.90913951e-11,4.36539693e-10
6.70000000e-02,1.95337080e-11,4.46753745e-10
6.80000000e-02,1.99849026e-11,4.57411886e-10
6.90000000e-02,2.04485318e-11,4.68514116e-10
7.00000000e-02,2.09219309e-11,4.80948614e-10
